input position,input joint,output joint
"(-1.4, -0.92)","(-3.15, 1.19)","(-3.14, 1.16)"
"(-1.4, -0.92)","(-3.11, 1.06)","(-3.14, 1.16)"
"(-1.4, -0.92)","(-3.15, 1.12)","(-3.14, 1.16)"
"(-1.4, -0.92)","(-3.23, 1.16)","(-3.14, 1.16)"
"(-1.4, -0.92)","(-3.19, 1.23)","(-3.14, 1.16)"
"(-1.4, -0.92)","(-3.24, 1.12)","(-3.14, 1.16)"
"(-1.4, -0.92)","(-3.24, 1.16)","(-3.14, 1.16)"
"(-1.4, -0.92)","(-3.05, 1.08)","(-3.14, 1.16)"
"(-1.4, -0.92)","(-3.24, 1.19)","(-3.14, 1.16)"
"(-1.4, -0.92)","(-3.06, 1.15)","(-3.14, 1.16)"
"(-1.4, -0.92)","(-3.21, 1.25)","(-3.14, 1.16)"
"(-1.4, -0.92)","(-3.13, 1.18)","(-3.14, 1.16)"
"(-1.4, -0.92)","(-3.18, 1.26)","(-3.14, 1.16)"
"(-1.4, -0.92)","(-3.15, 1.08)","(-3.14, 1.16)"
"(-1.4, -0.92)","(-3.14, 1.14)","(-3.14, 1.16)"
"(-1.08, -1.0)","(-3.08, 1.43)","(-3.14, 1.49)"
"(-1.08, -1.0)","(-3.2, 1.41)","(-3.14, 1.49)"
"(-1.08, -1.0)","(-3.23, 1.56)","(-3.14, 1.49)"
"(-1.08, -1.0)","(-3.2, 1.53)","(-3.14, 1.49)"
"(-1.08, -1.0)","(-3.1, 1.52)","(-3.14, 1.49)"
"(-1.08, -1.0)","(-3.11, 1.55)","(-3.14, 1.49)"
"(-1.08, -1.0)","(-3.08, 1.56)","(-3.14, 1.49)"
