input position,input joint,output joint
"(-1.19, 0.3)","(-2.43, -1.74)","(-2.48, -1.82)"
"(-1.19, 0.3)","(-2.53, -1.91)","(-2.48, -1.82)"
"(-1.19, 0.3)","(-2.44, -1.74)","(-2.48, -1.82)"
"(-1.19, 0.3)","(-2.46, -1.83)","(-2.48, -1.82)"
"(-1.19, 0.3)","(-2.47, -1.76)","(-2.48, -1.82)"
"(-1.19, 0.3)","(-2.46, -1.81)","(-2.48, -1.82)"
"(-1.19, 0.3)","(-2.5, -1.83)","(-2.48, -1.82)"
"(-1.19, 0.3)","(-2.42, -1.86)","(-2.48, -1.82)"
"(-1.19, 0.3)","(-2.46, -1.76)","(-2.48, -1.82)"
"(-1.19, 0.3)","(-2.47, -1.89)","(-2.48, -1.82)"
"(-1.19, 0.3)","(-2.4, -1.85)","(-2.48, -1.82)"
"(-1.19, 0.3)","(-2.42, -1.75)","(-2.48, -1.82)"
"(-1.19, 0.3)","(-2.47, -1.86)","(-2.48, -1.82)"
"(-1.19, 0.3)","(-2.48, -1.72)","(-2.48, -1.82)"
"(-1.47, 0.12)","(-2.51, -1.4)","(-2.48, -1.49)"
"(-1.47, 0.12)","(-2.51, -1.58)","(-2.48, -1.49)"
"(-1.47, 0.12)","(-2.55, -1.4)","(-2.48, -1.49)"
"(-1.47, 0.12)","(-2.43, -1.45)","(-2.48, -1.49)"
"(-1.47, 0.12)","(-2.4, -1.53)","(-2.48, -1.49)"
